"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"Account Abstraction: Replacing Seed Phrases with User Friendly Mechanism for Non-Custodial Wallets on Cardano","312","₳73,203,348","₳24,016,171","YES","₳120,000","NOT FUNDED","₳743","Over Budget"
"Blaze: Plutus Data Serialisation","322","₳72,626,591","₳51,695,680","YES","₳80,000","NOT FUNDED","₳743","Over Budget"
"Cardano Cross-Chain Interoperability Protocol Integration","427","₳72,026,953","₳37,806,827","YES","₳185,570","NOT FUNDED","₳743","Over Budget"
"VISTA-IBC Codebase: Supporting Cardano-Cosmos Interoperability","338","₳70,790,908","₳48,552,733","YES","₳200,000","NOT FUNDED","₳743","Over Budget"
"Link NFT with any purchase","273","₳69,346,868","₳52,834,936","YES","₳177,717","NOT FUNDED","₳743","Over Budget"
"Open-source for Wallet on Telegram integrated Sanchonet GOV Tool","327","₳68,699,650","₳29,401,052","YES","₳136,000","NOT FUNDED","₳743","Over Budget"
"Cardano Smart Contract Auditing Tool that saves millions of dollars from being stolen","393","₳68,241,850","₳55,243,087","YES","₳185,000","NOT FUNDED","₳743","Over Budget"
"Incorporating Plonk into AK-381 Zero-Knowledge Library","268","₳67,322,060","₳28,385,541","YES","₳100,000","NOT FUNDED","₳743","Over Budget"
"Scalus: Plutus V3 support","319","₳67,017,828","₳35,576,450","YES","₳120,000","NOT FUNDED","₳743","Over Budget"
"Build a customised LLM for Aiken Smart Contract code analysis and release on Hugging Face","290","₳66,904,204","₳46,906,448","YES","₳24,890","NOT FUNDED","₳743","Over Budget"
"Yepple - Beginner-friendly NFT Metadata and Image Creation","296","₳66,413,174","₳21,853,883","YES","₳95,000","NOT FUNDED","₳743","Over Budget"
"MISRA compliant C SDK for Blockfrost API","241","₳66,145,217","₳14,250,905","YES","₳75,000","NOT FUNDED","₳743","Over Budget"
"Elixir implementation of Ouroboros networking","332","₳64,796,513","₳41,181,843","YES","₳90,000","NOT FUNDED","₳743","Over Budget"
"HydroGenuine - Open source track and trace platform with green energy use-case on Cardano","296","₳64,786,625","₳46,503,460","YES","₳200,000","NOT FUNDED","₳743","Over Budget"
"Dandelion-lite: Decentralized nodes for dummies for GC, Gimbalabs, Roundtable and devs","310","₳64,779,884","₳33,517,419","YES","₳199,000","NOT FUNDED","₳743","Over Budget"
"Cardano Dev Assistant: An AI-Powered VS Code Extension","320","₳64,662,498","₳33,638,369","YES","₳94,700","NOT FUNDED","₳743","Over Budget"
"Cardano Playground++: Code, Compile & Deploy in One Place","343","₳64,466,099","₳39,199,573","YES","₳95,000","NOT FUNDED","₳743","Over Budget"
"Scalus: Multiplatform Tx Builder – same code for front&backend","277","₳63,679,712","₳54,718,539","YES","₳120,000","NOT FUNDED","₳743","Over Budget"
"Pocket Pool - One click solution for launching a stake pool on Ubuntu","385","₳62,871,917","₳46,670,708","YES","₳200,000","NOT FUNDED","₳743","Over Budget"
"Open Source ReFi protocol & USDM with Plastic Credit","303","₳61,357,314","₳49,099,596","YES","₳198,000","NOT FUNDED","₳743","Over Budget"
"Paideia - Building Blocks for Complex Treasury Management","299","₳60,504,933","₳33,571,942","YES","₳195,000","NOT FUNDED","₳743","Over Budget"
"CardanoCrops: Cultivating Cardano Smart Contract Development Skills","279","₳60,430,714","₳19,273,903","YES","₳200,000","NOT FUNDED","₳743","Over Budget"
"Pondora Typescript SDK - Simplifying interaction with Next Gen DeFi protocols","248","₳59,551,832","₳35,277,492","YES","₳107,500","NOT FUNDED","₳743","Over Budget"
"Low-code cardano smart contract generator","320","₳57,273,373","₳49,095,001","YES","₳100,000","NOT FUNDED","₳743","Over Budget"
"Yepple - Beginner-friendly NFT & Token Airdrops Tools","332","₳57,238,630","₳36,935,036","YES","₳110,000","NOT FUNDED","₳743","Over Budget"
"Marlowe VsCode Extension Suite","320","₳57,047,806","₳33,197,438","YES","₳150,000","NOT FUNDED","₳743","Over Budget"
"Cardano DevTrack: A Cardano Development and Tooling Platform","297","₳56,844,323","₳16,186,203","YES","₳117,000","NOT FUNDED","₳743","Over Budget"
"Cardano Developer Toolkit","321","₳56,727,440","₳46,428,728","YES","₳170,000","NOT FUNDED","₳743","Over Budget"
"NFT Guild: Customizable Airdrops & Escrow Tools for Creators","297","₳56,711,878","₳25,121,290","YES","₳199,600","NOT FUNDED","₳743","Over Budget"
"Cardano Game Development SDK for Godot","371","₳56,675,749","₳21,216,782","YES","₳84,000","NOT FUNDED","₳743","Over Budget"
"Shopify + Cardano NFTs Token Gating Web3 for E-commerces Stores","396","₳55,871,019","₳61,645,506","YES","₳199,893","NOT FUNDED","₳743","Over Budget"
"genun | Non-Predatory Betting Protocol in Ascent: Rivals","262","₳55,430,063","₳52,746,258","YES","₳182,823","NOT FUNDED","₳743","Over Budget"
"Bind-friendly C Library for Ledger Hardware Wallet Cardano App","340","₳54,822,096","₳45,554,663","YES","₳200,000","NOT FUNDED","₳743","Over Budget"
"Cardano eCommerce Application","327","₳53,604,506","₳33,762,185","YES","₳30,000","NOT FUNDED","₳743","Over Budget"
"Modular DePIN SDK: Unlocking New Revenue Streams for SPOs","279","₳53,034,074","₳22,059,677","YES","₳150,000","NOT FUNDED","₳743","Over Budget"
"Cardano Multipurpose Hub Dependency for Mobile, Web, desktop & embedded devices","288","₳52,750,349","₳25,632,939","YES","₳98,000","NOT FUNDED","₳743","Over Budget"
"dAppsOnCardano - Analytics and dapp store for all Cardano dApps","279","₳52,449,100","₳39,377,940","YES","₳180,000","NOT FUNDED","₳743","Over Budget"
"Cloudflare Workers Cardano SDK","341","₳51,384,742","₳56,855,760","YES","₳35,000","NOT FUNDED","₳743","Over Budget"
"Empowering Taiwan: Cardano Educational Platform","319","₳51,071,543","₳48,264,013","YES","₳100,000","NOT FUNDED","₳743","Over Budget"
"Grabbit | Onchain Charity Registry","251","₳50,737,014","₳105,172,108","YES","₳121,882","NOT FUNDED","₳743","Over Budget"
"Cardano Contract Explorer","369","₳50,666,534","₳40,366,056","YES","₳194,086","NOT FUNDED","₳743","Over Budget"
"Hyperledger Identus Feature Development","329","₳49,807,357","₳40,815,523","YES","₳200,000","NOT FUNDED","₳743","Over Budget"
"Java SDK for CardanoBI API","297","₳49,370,653","₳46,637,087","YES","₳19,950","NOT FUNDED","₳743","Over Budget"
"Lemma SDK: On-Chain Marketing Strategy Toolkit for Founders and Developers","245","₳49,280,658","₳107,269,183","YES","₳100,000","NOT FUNDED","₳743","Over Budget"
"Koios Rust Client Library","272","₳49,130,802","₳35,342,941","YES","₳58,000","NOT FUNDED","₳743","Over Budget"
"DRED Decentralized API","260","₳45,316,462","₳30,472,992","NO","₳100,000","NOT FUNDED","₳743","Approval Threshold"
"Maintain latest aarch64 (ARM) compliant static binaries for Cardano SPOs, developers and users","302","₳45,304,908","₳32,541,554","NO","₳18,000","NOT FUNDED","₳743","Approval Threshold"
"Plug-n-Play Marketing API for Cardano Developers","286","₳45,178,109","₳34,068,121","NO","₳134,002","NOT FUNDED","₳743","Approval Threshold"
"A Symphony of Automated dApp Composition and Creation","230","₳45,016,029","₳15,150,936","NO","₳110,000","NOT FUNDED","₳743","Approval Threshold"
"Amharic UI for Project Catalyst (Ethiopia)","260","₳44,990,418","₳57,203,878","NO","₳200,000","NOT FUNDED","₳743","Approval Threshold"
"Yepple - NFT & Token Snapshots - Holders, Metadata, & more!","292","₳44,814,073","₳49,296,141","NO","₳70,000","NOT FUNDED","₳743","Approval Threshold"
"Yepple- Instant Fungible Token Creation to Fuel Cardano DeFi","330","₳44,810,239","₳41,811,988","NO","₳90,000","NOT FUNDED","₳743","Approval Threshold"
"A Real-Time Cardano-specific Desk Watch (open-source with DIY assembly instructions and 3D-printed case). Ideal for Node Operators / SPOs / DReps for monitoring key metrics seamlessly.","271","₳44,552,454","₳39,010,514","NO","₳17,000","NOT FUNDED","₳743","Approval Threshold"
"Cardano SDK for Elixir Language [Open source]","252","₳43,852,700","₳29,950,094","NO","₳184,000","NOT FUNDED","₳743","Approval Threshold"
"45B - Mesh as a Cardano data-abstraction layer","293","₳43,692,437","₳39,669,675","NO","₳85,500","NOT FUNDED","₳743","Approval Threshold"
"Scaffold-Cardano: Accelerating Cardano dApp Development, Robust Development framework inspired by the success of Scaffold-ETH","268","₳43,515,897","₳27,824,394","NO","₳100,000","NOT FUNDED","₳743","Approval Threshold"
"Blockfrost C++ SDK","300","₳43,499,998","₳47,808,283","NO","₳58,000","NOT FUNDED","₳743","Approval Threshold"
"Library for Anonymizing the Source of Transactions for Privacy-Focused Use Cases","255","₳42,828,671","₳31,815,516","NO","₳150,000","NOT FUNDED","₳743","Approval Threshold"
"Yepple - Complete NFT Sale Platform - Free, Easy, and Safe","305","₳42,612,641","₳37,893,410","NO","₳195,000","NOT FUNDED","₳743","Approval Threshold"
"Cardano AI Suite: Real-Time Insights, Dev Aid & Misinfo Watch","257","₳42,188,573","₳36,444,611","NO","₳190,000","NOT FUNDED","₳743","Approval Threshold"
"Cardano API Gateway: Democratizing Access to Cardano Services","270","₳42,048,630","₳37,698,550","NO","₳159,075","NOT FUNDED","₳743","Approval Threshold"
"VERALIDITY 🔥 Adobe Commerce & Magento 2 Open Source Cardano DbSync Integration 🔥 Seamless REST & GraphQl APIs 🚀","315","₳41,929,273","₳51,603,140","NO","₳200,000","NOT FUNDED","₳743","Approval Threshold"
"NFT Guild: Multi-Marketplace NFT Listings - A New Open-Standard for Cardano","290","₳41,914,250","₳25,380,971","NO","₳196,000","NOT FUNDED","₳743","Approval Threshold"
"Cquisitor: Transaction investigation tool","328","₳41,160,972","₳32,944,049","NO","₳200,000","NOT FUNDED","₳743","Approval Threshold"
