"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"Global Waste Recovery: Verified Connection through Cardano","149","₳25,781,554","₳10,301,043","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Cardano Devnet Sandbox (Hardhat/Anvil-style Local Testnet)","117","₳25,446,054","₳5,629,893","NO","₳30,000","NOT FUNDED","₳11,166","Approval Threshold"
"DeFi Hub - One Open Standard, All Cardano DeFi in One Place","150","₳25,093,406","₳13,642,629","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Governance AI Assitant","149","₳24,981,308","₳9,293,337","NO","₳90,203","NOT FUNDED","₳11,166","Approval Threshold"
"CardaPass — Fraud-Proof Event Ticketing on Cardano (NFT)","121","₳24,951,162","₳7,856,565","NO","₳88,000","NOT FUNDED","₳11,166","Approval Threshold"
"[BLAB]:CIP68 Asset API Service & SDK Development","156","₳24,303,425","₳6,313,811","NO","₳89,800","NOT FUNDED","₳11,166","Approval Threshold"
"Cardano open source supply chain traceability API & SDK","117","₳23,878,654","₳4,977,190","NO","₳95,000","NOT FUNDED","₳11,166","Approval Threshold"
"Phoenix Explorer: Reviving an Open-source Explorer","141","₳23,601,889","₳6,171,200","NO","₳30,000","NOT FUNDED","₳11,166","Approval Threshold"
"TMT CARDANO NATIVE TOKEN MINTER","120","₳22,936,575","₳8,552,931","NO","₳25,000","NOT FUNDED","₳11,166","Approval Threshold"
"Cardano Impact DevKit: Attestations & Governance (SDK/CLI)","170","₳22,576,070","₳11,169,915","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"[BLAB]: Hydra's First Steps for Dev - 5 dApp Templates on L2","159","₳22,269,193","₳8,130,903","NO","₳69,260","NOT FUNDED","₳11,166","Approval Threshold"
"Decentralized Stablecoin Protocol On Midnight","174","₳22,204,293","₳24,032,097","NO","₳50,000","NOT FUNDED","₳11,166","Approval Threshold"
"Orthogonal Persistence for DApps on Cardano by Sky Protocol","125","₳21,880,091","₳12,799,189","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
".Net Identus SDK","163","₳21,719,896","₳6,976,705","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"SmartContract AI: Boosting Plutus & Marlowe Developers Power","109","₳21,687,131","₳7,996,071","NO","₳68,000","NOT FUNDED","₳11,166","Approval Threshold"
"TexStream: Real-Time Multi-DEX Price & Pool Data","136","₳21,277,694","₳6,137,419","NO","₳81,187","NOT FUNDED","₳11,166","Approval Threshold"
"Cardano Smart Contract Visual Debugger (C-SCVD)","128","₳21,152,300","₳23,118,398","NO","₳100,000","NOT FUNDED","₳11,166","Approval Threshold"
"Community-Owned Zero Knowledge Governance L2 + Token Economy","188","₳21,113,409","₳9,778,992","NO","₳93,560","NOT FUNDED","₳11,166","Approval Threshold"
