"Proposal","Votes cast","Yes","No","Result","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"Open Source Widget NoCode ""Keyword Coins Real Time Prices"" for Tokens on Cardano Ecosystem Embedded in Content for Websites, Portals & Blogs","338","₳94,181,221","₳100,049,087","-₳5,867,866","NO","₳242,500","NOT FUNDED","₳32,092","Approval Threshold"
"zkFold: zk-rollups on Cardano. Phase 1: zkWrapper","634","₳119,470,715","₳126,136,490","-₳6,665,775","NO","₳665,000","NOT FUNDED","₳32,092","Approval Threshold"
"Catalyst Brasil: Driving innovation in the Cardano Community [Project Catalyst + Cardano Essentials in Sao Paulo, Brazil]","266","₳44,988,131","₳53,618,912","-₳8,630,781","NO","₳62,250","NOT FUNDED","₳32,092","Approval Threshold"
"KuberIDE 2.0: A complete IDE for Plutus Smart Contracts development","433","₳130,428,532","₳139,064,245","-₳8,635,713","NO","₳468,292","NOT FUNDED","₳32,092","Approval Threshold"
"Cardano Node on Microsoft Azure Marketplace","359","₳41,286,497","₳51,259,494","-₳9,972,997","NO","₳35,000","NOT FUNDED","₳32,092","Approval Threshold"
"Bridgeless Cross-Chain Swaps in 1 click for Cardano","386","₳55,330,049","₳65,674,433","-₳10,344,384","NO","₳40,000","NOT FUNDED","₳32,092","Approval Threshold"
"Open Multisig Synchronization Service","272","₳34,428,314","₳46,840,218","-₳12,411,904","NO","₳30,000","NOT FUNDED","₳32,092","Approval Threshold"
"Cardano Node on AWS - Quick Start","316","₳38,758,368","₳52,618,118","-₳13,859,750","NO","₳39,500","NOT FUNDED","₳32,092","Approval Threshold"
"Wolfram Cardano Exchange Data Infrastructure","552","₳141,737,895","₳156,238,977","-₳14,501,082","NO","₳824,400","NOT FUNDED","₳32,092","Approval Threshold"
"Learn and Earn Web3 Education Platform Powered by an AI co-pilot for course creators and learners","285","₳31,125,980","₳46,456,311","-₳15,330,331","NO","₳74,500","NOT FUNDED","₳32,092","Approval Threshold"
"Open Source NFT Display and Gallery","315","₳32,928,112","₳52,253,599","-₳19,325,487","NO","₳55,172","NOT FUNDED","₳32,092","Approval Threshold"
"Open source Marketplace ""Opensea-like"" for MIlkomeda usecases and Seedstars Galaxy","344","₳124,365,353","₳144,473,079","-₳20,107,726","NO","₳290,000","NOT FUNDED","₳32,092","Approval Threshold"
"Unlocking Privacy on Cardano: Implementing an Anonymous Donation/Transaction System","270","₳28,998,338","₳49,148,680","-₳20,150,342","NO","₳57,000","NOT FUNDED","₳32,092","Approval Threshold"
"[CFD] - Cardano Fast Deployment tool. Setup and manage your infrastracture like a charm!","333","₳40,693,533","₳63,757,855","-₳23,064,322","NO","₳30,000","NOT FUNDED","₳32,092","Approval Threshold"
"CardanoPress Starter Themes and Templates","305","₳22,413,093","₳46,858,853","-₳24,445,760","NO","₳35,000","NOT FUNDED","₳32,092","Approval Threshold"
"Project Catalyst Funded Project PlayBook Revamp and Marketing/Community Project Support - SmartHubs","239","₳21,299,061","₳46,382,306","-₳25,083,245","NO","₳39,000","NOT FUNDED","₳32,092","Approval Threshold"
"Breaking Language Barriers: A Proposal for Expanding Global Accessibility through Comprehensive Language Support","382","₳129,092,932","₳154,271,582","-₳25,178,650","NO","₳149,167","NOT FUNDED","₳32,092","Approval Threshold"
"[Fimi] Cardano Podcast for Vietnamese","405","₳35,851,807","₳65,613,860","-₳29,762,053","NO","₳22,476","NOT FUNDED","₳32,092","Approval Threshold"
"Integrate Cardano blockchain to PitchTalk - platform for communication between projects, investors, and communities","216","₳16,986,419","₳48,515,736","-₳31,529,317","NO","₳30,000","NOT FUNDED","₳32,092","Approval Threshold"
"From Argentina to the world. Building trust in the authenticity of academic documents with the power of Cardano: A systematic literature mapping","262","₳20,344,925","₳52,062,652","-₳31,717,727","NO","₳15,000","NOT FUNDED","₳32,092","Approval Threshold"
"Research Paper on Impact in Cardano","293","₳20,275,200","₳53,815,074","-₳33,539,874","NO","₳25,000","NOT FUNDED","₳32,092","Approval Threshold"
"Teaching Turks Cardano Through Online Workshops, Youtube videos, and Community Building","256","₳23,240,244","₳57,212,669","-₳33,972,425","NO","₳15,000","NOT FUNDED","₳32,092","Approval Threshold"
"Cardano Users Onboarding Guide","304","₳32,806,309","₳67,572,854","-₳34,766,545","NO","₳69,933","NOT FUNDED","₳32,092","Approval Threshold"
"Blockchain Education Alpha Program for Vietnamese","261","₳33,848,781","₳69,143,897","-₳35,295,116","NO","₳48,000","NOT FUNDED","₳32,092","Approval Threshold"
"Open Source Snapshotter","245","₳28,875,899","₳65,082,383","-₳36,206,484","NO","₳60,333","NOT FUNDED","₳32,092","Approval Threshold"
