"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"Earning through Microtasks: A Cardano Based Earning Platform","82","₳5,393,869","₳7,529,548","NO","₳65,000","NOT FUNDED","₳513,764","Approval Threshold"
"Gengree: Blockchain Green Energy Tracker","75","₳5,370,582","₳6,505,574","NO","₳85,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano Native Term Life Savings Protocol","80","₳5,368,578","₳23,498,008","NO","₳42,000","NOT FUNDED","₳513,764","Approval Threshold"
"rapid Plutus Application Development (rPAD)- Pheidippides","98","₳5,331,754","₳11,802,327","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"SUBADA","75","₳5,327,610","₳7,228,372","NO","₳75,000","NOT FUNDED","₳513,764","Approval Threshold"
"Real estate cross border fund management platform","100","₳5,327,483","₳30,385,155","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"One Shot Cross-Chain DeFi Research: Testnet MVP","74","₳5,324,477","₳22,909,353","NO","₳80,000","NOT FUNDED","₳513,764","Approval Threshold"
"BinToCash: Turning Waste into Value on Cardano","84","₳5,296,408","₳22,760,175","NO","₳95,000","NOT FUNDED","₳513,764","Approval Threshold"
"HealthPilot: Navigat a New Era in Healthcare with AI & B.C","91","₳5,294,474","₳12,047,371","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"ExpertsWay: Cardano Credentials for Ethiopian Devs","85","₳5,285,605","₳10,630,647","NO","₳83,333","NOT FUNDED","₳513,764","Approval Threshold"
"improve DAO decision making processes and decision quality","68","₳5,240,563","₳5,473,303","NO","₳30,000","NOT FUNDED","₳513,764","Approval Threshold"
"Credence","82","₳5,234,647","₳24,292,759","NO","₳85,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano LearnFi - A Circular Economy for Education Thrive","82","₳5,207,291","₳6,714,672","NO","₳59,700","NOT FUNDED","₳513,764","Approval Threshold"
"[MCP Server] Open EU Regulations for Cardano","94","₳5,199,018","₳7,782,885","NO","₳75,000","NOT FUNDED","₳513,764","Approval Threshold"
"ZapCoin x CalOne — Cardano-Powered Student Engagement Token","93","₳5,181,683","₳11,663,164","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Viridian Mosaic: Reward Environmental Impact","86","₳5,164,104","₳12,281,530","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Mulucard Pro: NFC Business & ID Cards on Cardano","93","₳5,152,536","₳28,899,960","NO","₳88,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano Woman Onchain Job Marketplace Indonesia","87","₳5,151,986","₳11,413,738","NO","₳65,000","NOT FUNDED","₳513,764","Approval Threshold"
"BirthBond: USSD + AI Voice Birth Registration on Cardano","107","₳5,148,041","₳7,779,658","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"Tribes - the new social network for Africa","92","₳5,147,719","₳7,867,444","NO","₳60,000","NOT FUNDED","₳513,764","Approval Threshold"
"Ubuntu dApp: Cardano Decentralized Business Empowerment","104","₳5,077,080","₳12,741,421","NO","₳99,922","NOT FUNDED","₳513,764","Approval Threshold"
"OctoWars - a TCG game","89","₳5,030,161","₳9,197,886","NO","₳52,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano Global Academic & Innovation Hub Network","116","₳5,007,849","₳14,623,569","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"drep.space – MVP Validation of Governance Matching Tool","84","₳5,003,517","₳6,654,190","NO","₳47,500","NOT FUNDED","₳513,764","Approval Threshold"
"NEXFUND: Decentralized Fund Management Platform","87","₳4,988,762","₳6,927,728","NO","₳69,360","NOT FUNDED","₳513,764","Approval Threshold"
"PEACEGUARD AI - A MULTILINGUAL MISINFORMATION DETECTION & VE","105","₳4,984,180","₳10,017,409","NO","₳88,500","NOT FUNDED","₳513,764","Approval Threshold"
"Africast","92","₳4,934,286","₳23,771,999","NO","₳72,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano On-Chain Quiz & Trivia DApp: Learning with Rewards","77","₳4,898,324","₳6,415,691","NO","₳65,000","NOT FUNDED","₳513,764","Approval Threshold"
"Dairy Supply Chain Transparency Platform","88","₳4,892,491","₳12,658,143","NO","₳60,000","NOT FUNDED","₳513,764","Approval Threshold"
"Educational Revolution: DApp Integration for Boarding School","98","₳4,882,404","₳8,851,903","NO","₳82,142","NOT FUNDED","₳513,764","Approval Threshold"
"TribalDAOs Technical Blueprint","75","₳4,851,250","₳9,667,732","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Egg Wars – A Worms-Style Web3 Game","108","₳4,818,593","₳15,836,708","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Tokenizing an Entire Lounge Bar - Sova DaNang on Cardano","80","₳4,794,019","₳7,979,851","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"Enabling current accounts in urble","82","₳4,768,013","₳6,706,762","NO","₳40,000","NOT FUNDED","₳513,764","Approval Threshold"
"Feed reader community platform","88","₳4,759,740","₳9,446,957","NO","₳25,000","NOT FUNDED","₳513,764","Approval Threshold"
"BlogPay 2.0 – Converting Adsense Revenue into ADA","96","₳4,739,889","₳8,064,417","NO","₳60,000","NOT FUNDED","₳513,764","Approval Threshold"
"Creative Atlas: Identity Solution For Onboarding Creatives","76","₳4,733,621","₳10,320,134","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Catalyst Real Reuse","89","₳4,708,069","₳12,130,506","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Sheba Create: Empowering Ethiopian Artisans on Cardano","79","₳4,704,991","₳12,664,623","NO","₳30,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano Blockchain Game Leaderboard","88","₳4,699,690","₳9,602,036","NO","₳55,000","NOT FUNDED","₳513,764","Approval Threshold"
"Hetzerk: Framework‑Free, Precompiled Training & Simulation","81","₳4,516,387","₳25,979,722","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Keysphere: Reinventing Self-Custody","77","₳4,506,409","₳6,551,056","NO","₳97,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano-Based E-Ticketing MVP for Accra Events","101","₳4,501,922","₳8,713,594","NO","₳60,000","NOT FUNDED","₳513,764","Approval Threshold"
"BlockChat - Intelligent AI for Seamless Cardano Support","78","₳4,474,292","₳10,044,196","NO","₳65,000","NOT FUNDED","₳513,764","Approval Threshold"
"MotoCore Biker APP: NFT Routes & Safe Rides Using Nodes","82","₳4,420,904","₳8,867,180","NO","₳65,000","NOT FUNDED","₳513,764","Approval Threshold"
"Semoto Verifiable Professional Credentials","76","₳4,420,898","₳6,625,001","NO","₳79,000","NOT FUNDED","₳513,764","Approval Threshold"
"Plot-Based Tokenization for Verified Mangrove Restoration","79","₳4,367,165","₳23,115,576","NO","₳92,000","NOT FUNDED","₳513,764","Approval Threshold"
"TrImEx: Transparent Import/Export Platform","81","₳4,343,155","₳11,240,419","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Open Source Educational Reforestation Game","79","₳4,327,443","₳7,867,622","NO","₳56,000","NOT FUNDED","₳513,764","Approval Threshold"
"COINMRI","75","₳4,302,256","₳9,605,528","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"EyeOT: The IoT Supernetwork No One Can Shut Down","94","₳4,293,868","₳27,226,997","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"CarbonTrace-Making your carbon footprint part of the choice","81","₳4,276,457","₳8,031,585","NO","₳70,000","NOT FUNDED","₳513,764","Approval Threshold"
"Managewise: Blockchain-Ready Workforce Management","79","₳4,261,185","₳6,626,476","NO","₳35,000","NOT FUNDED","₳513,764","Approval Threshold"
"eUTXO Quest","76","₳4,254,930","₳6,451,787","NO","₳57,000","NOT FUNDED","₳513,764","Approval Threshold"
"Emaji: Trusted Wallet for Healthcare Workforce Innovation","79","₳4,237,176","₳7,800,417","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"Crowd X for Climate Justice","81","₳4,207,974","₳22,091,325","NO","₳54,000","NOT FUNDED","₳513,764","Approval Threshold"
"M4W: Offline Field Data Collection Tool Feasibility & MVP","74","₳4,201,176","₳6,914,320","NO","₳98,000","NOT FUNDED","₳513,764","Approval Threshold"
"Digital Agriculture Blueprint for Tanzania","78","₳4,193,734","₳6,331,888","NO","₳95,000","NOT FUNDED","₳513,764","Approval Threshold"
"TenaLand Secure Ethiopian land ownership on Cardano.","81","₳4,192,188","₳11,769,583","NO","₳50,000","NOT FUNDED","₳513,764","Approval Threshold"
"CarMemeShift: for Daily Car Meme Community Engagement","87","₳4,155,074","₳7,814,816","NO","₳38,000","NOT FUNDED","₳513,764","Approval Threshold"
"NextGen Media Minds: Certified by Cardano","78","₳4,151,558","₳7,265,306","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"ADIUVAT: Reviving local venues & businesses","80","₳4,149,340","₳22,648,851","NO","₳70,000","NOT FUNDED","₳513,764","Approval Threshold"
"The Consciousness Singularity: Healing Humanity's Soul","104","₳4,124,160","₳31,850,830","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"R-UPC: Meme Token Powering Change in Cameroon and beyond","85","₳4,090,771","₳9,195,845","NO","₳68,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano Hub Indonesia: NuSound Terra Music Platform","84","₳4,045,022","₳23,342,109","NO","₳89,730","NOT FUNDED","₳513,764","Approval Threshold"
"Entire Co-working Space Tokenized - Sova, HCM on Cardano","73","₳3,977,839","₳22,360,038","NO","₳90,000","NOT FUNDED","₳513,764","Approval Threshold"
"BRIDGING BARS; Bridging the gap between addicts and help","79","₳3,969,499","₳7,848,244","NO","₳88,000","NOT FUNDED","₳513,764","Approval Threshold"
"Kenyan Public Servants' Financial Literacy With Cardano","83","₳3,954,021","₳9,195,812","NO","₳70,000","NOT FUNDED","₳513,764","Approval Threshold"
"NoCode Blockchain Credential Platform for Training Providers","72","₳3,935,701","₳7,001,394","NO","₳74,000","NOT FUNDED","₳513,764","Approval Threshold"
"VietAssist.Net: Matching jobs and businesses on the Cardano","77","₳3,934,917","₳7,070,545","NO","₳60,000","NOT FUNDED","₳513,764","Approval Threshold"
"ProjeX UNITRY: University Tree of Life for Students & Alumni","81","₳3,927,931","₳28,059,161","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"KV₳D₳ Sol₳r: Telemeasurement and final disposal","90","₳3,923,208","₳9,567,077","NO","₳99,000","NOT FUNDED","₳513,764","Approval Threshold"
"Wells of Truth: Unlocking Primary Water Through NFTs & Web3","72","₳3,891,344","₳8,247,766","NO","₳72,000","NOT FUNDED","₳513,764","Approval Threshold"
"Yeneta Learn2Earn: On-Chain Rewards-Web3 Learners in Africa","84","₳3,809,952","₳8,340,484","NO","₳75,000","NOT FUNDED","₳513,764","Approval Threshold"
"Turning Daily Steps into Digital Value with Cardano","93","₳3,804,235","₳23,608,323","NO","₳35,000","NOT FUNDED","₳513,764","Approval Threshold"
"Decentralized Ride-Sharing Reputation System for Ethiopia","88","₳3,773,358","₳15,447,840","NO","₳80,000","NOT FUNDED","₳513,764","Approval Threshold"
"SaoMai: Collateral-Backed Donations, Secured by Cardano","72","₳3,765,106","₳6,602,931","NO","₳54,010","NOT FUNDED","₳513,764","Approval Threshold"
"PSEUDONYMOUS COMPUTER: The Handle Search Engine","84","₳3,473,397","₳12,466,264","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"LITERA - platform for writers, poets and literary creatives","82","₳3,358,937","₳27,774,540","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"InjeraTime: Discover & Cook Ethiopian Classics","81","₳3,290,726","₳11,475,801","NO","₳59,700","NOT FUNDED","₳513,764","Approval Threshold"
"Cultivating Ethical Blockchain Innovation from Africa","90","₳3,198,171","₳15,655,049","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"DomuLabs 🌱 — Environmental IoT with Cardano Donations","83","₳3,187,745","₳9,755,382","NO","₳88,000","NOT FUNDED","₳513,764","Approval Threshold"
"Protecting your Cardano portfolio with CoverCrypto.io","81","₳3,181,022","₳24,223,734","NO","₳60,000","NOT FUNDED","₳513,764","Approval Threshold"
"NFTrek - Hike, Collect, Experience","81","₳3,101,746","₳24,777,144","NO","₳47,058","NOT FUNDED","₳513,764","Approval Threshold"
"Social Equb Staking","74","₳3,029,655","₳8,225,299","NO","₳75,000","NOT FUNDED","₳513,764","Approval Threshold"
"MBA ITB Alumni Association Platform x Cardano Hub Indonesia","90","₳3,029,545","₳15,804,531","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"Cardano Hub Indonesia: Patient - Dental Ownership Ecosystem","84","₳2,992,557","₳13,799,226","NO","₳100,000","NOT FUNDED","₳513,764","Approval Threshold"
"M4W: Biodiversity Data Capture & On-Chain Storage","76","₳2,898,328","₳8,517,336","NO","₳92,000","NOT FUNDED","₳513,764","Approval Threshold"
