"Proposal","Link to ideascale","Overall score","Votes cast","YES","NO","Result","Meets approval threshold","REQUESTED $","STATUS","FUND DEPLETION","Reason for not funded status"
"Plutus Integration with Pony Lang","http://app.ideascale.com/t/UM5UZBndC","3.53","260","₳27,185,932","₳30,159,970","-₳2,974,038","NO","$6,000","NOT FUNDED","$1,875","Approval Threshold"
"Localize in Ukrainian and Russian","http://app.ideascale.com/t/UM5UZBnQ5","3.33","314","₳22,467,017","₳25,879,919","-₳3,412,902","NO","$19,900","NOT FUNDED","$1,875","Approval Threshold"
"Testnet support for API [NFT-MAKER]","http://app.ideascale.com/t/UM5UZBnFG","3.78","350","₳54,208,910","₳57,900,695","-₳3,691,785","NO","$15,000","NOT FUNDED","$1,875","Approval Threshold"
"Cardano Developer Academy","http://app.ideascale.com/t/UM5UZBnGp","3.56","377","₳52,546,030","₳56,856,033","-₳4,310,003","NO","$18,000","NOT FUNDED","$1,875","Approval Threshold"
"ETH-Cardano NFT Bridge [NFT-MAKER|","http://app.ideascale.com/t/UM5UZBnDU","3.22","460","₳57,030,627","₳62,850,848","-₳5,820,221","NO","$50,000","NOT FUNDED","$1,875","Approval Threshold"
"Arweave as NFT storage [NFT-MAKER]","http://app.ideascale.com/t/UM5UZBnCw","3.92","390","₳52,382,413","₳61,531,767","-₳9,149,354","NO","$30,000","NOT FUNDED","$1,875","Approval Threshold"
"C64 Modular Wallet","http://app.ideascale.com/t/UM5UZBnBK","4.22","348","₳47,257,732","₳58,995,815","-₳11,738,083","NO","$23,860","NOT FUNDED","$1,875","Approval Threshold"
"IOTA-Cardano NFT Bridge [NFT-MAKER]","http://app.ideascale.com/t/UM5UZBnDW","3.13","375","₳44,317,673","₳57,617,504","-₳13,299,831","NO","$50,000","NOT FUNDED","$1,875","Approval Threshold"
"Treasury for Mini-Proposals","http://app.ideascale.com/t/UM5UZBnaM","4.00","309","₳27,972,292","₳43,533,204","-₳15,560,912","NO","$59,354","NOT FUNDED","$1,875","Approval Threshold"
"SOLID Software Development Projects","http://app.ideascale.com/t/UM5UZBm7d","3.56","311","₳42,924,848","₳58,567,127","-₳15,642,279","NO","$80,100","NOT FUNDED","$1,875","Approval Threshold"
"Contract Labeling & Transparency","http://app.ideascale.com/t/UM5UZBnVb","4.07","361","₳35,069,162","₳52,710,585","-₳17,641,423","NO","$68,000","NOT FUNDED","$1,875","Approval Threshold"
"Delegator Dividend Reward System","http://app.ideascale.com/t/UM5UZBnAw","2.89","325","₳38,329,501","₳56,952,252","-₳18,622,751","NO","$50,000","NOT FUNDED","$1,875","Approval Threshold"
"3D-Level editor for game-devs","http://app.ideascale.com/t/UM5UZBmqM","4.17","414","₳46,824,322","₳66,246,177","-₳19,421,855","NO","$60,000","NOT FUNDED","$1,875","Approval Threshold"
"BEN Learn Cardano Developer Course","http://app.ideascale.com/t/UM5UZBnXN","3.52","321","₳25,824,449","₳46,118,704","-₳20,294,255","NO","$50,500","NOT FUNDED","$1,875","Approval Threshold"
"Cardano meditation network","http://app.ideascale.com/t/UM5UZBm0h","3.33","313","₳28,968,322","₳57,640,850","-₳28,672,528","NO","$11,980","NOT FUNDED","$1,875","Approval Threshold"
"Prediction Outcome Verification","http://app.ideascale.com/t/UM5UZBnRq","2.92","262","₳12,605,559","₳42,273,355","-₳29,667,796","NO","$45,000","NOT FUNDED","$1,875","Approval Threshold"
"Gaming in Cardano For Mass Adoption","http://app.ideascale.com/t/UM5UZBnYc","1.33","370","₳12,689,914","₳42,951,117","-₳30,261,203","NO","$20,000","NOT FUNDED","$1,875","Approval Threshold"
"AI App Builder","http://app.ideascale.com/t/UM5UZBmz2","3.67","378","₳39,255,449","₳69,576,852","-₳30,321,403","NO","$220,000","NOT FUNDED","$1,875","Approval Threshold"
"Ranking projects built on cardano","http://app.ideascale.com/t/UM5UZBmmN","1.67","342","₳29,569,079","₳59,967,290","-₳30,398,211","NO","$80,000","NOT FUNDED","$1,875","Approval Threshold"
"Tutorchain.io - Cardano use case","http://app.ideascale.com/t/UM5UZBnX8","2.93","256","₳11,021,472","₳42,415,511","-₳31,394,039","NO","$15,000","NOT FUNDED","$1,875","Approval Threshold"
"Mobile App Template For Blockchain","http://app.ideascale.com/t/UM5UZBmuA","3.07","343","₳35,347,293","₳66,760,142","-₳31,412,849","NO","$180,000","NOT FUNDED","$1,875","Approval Threshold"
"Bridge between Catalyst and Kaggle","http://app.ideascale.com/t/UM5UZBnf5","3.33","246","₳6,837,258","₳40,651,524","-₳33,814,266","NO","$15,000","NOT FUNDED","$1,875","Approval Threshold"
"CCC: Cardano Multiversity MVP","http://app.ideascale.com/t/UM5UZBmjC","2.92","305","₳27,845,574","₳62,861,768","-₳35,016,194","NO","$150,000","NOT FUNDED","$1,875","Approval Threshold"
"KNuggies Education Platform","http://app.ideascale.com/t/UM5UZBnSo","3.20","262","₳11,729,620","₳46,970,957","-₳35,241,337","NO","$72,000","NOT FUNDED","$1,875","Approval Threshold"
"Fair Stake Pool Selection","http://app.ideascale.com/t/UM5UZBm7p","2.78","330","₳28,042,636","₳63,285,423","-₳35,242,787","NO","$29,500","NOT FUNDED","$1,875","Approval Threshold"
"Cross-border payment processing","http://app.ideascale.com/t/UM5UZBnFc","1.42","396","₳30,207,087","₳65,548,043","-₳35,340,956","NO","$200,000","NOT FUNDED","$1,875","Approval Threshold"
"dApp Templates & GUI dApp Modules","http://app.ideascale.com/t/UM5UZBnds","2.19","301","₳9,086,206","₳45,033,650","-₳35,947,444","NO","$72,000","NOT FUNDED","$1,875","Approval Threshold"
"Cryptocurrency Exchange","http://app.ideascale.com/t/UM5UZBnEs","2.29","412","₳22,354,804","₳59,438,648","-₳37,083,844","NO","$200,000","NOT FUNDED","$1,875","Approval Threshold"
"Incentivized Developer Training","http://app.ideascale.com/t/UM5UZBmni","2.67","300","₳21,926,375","₳63,383,547","-₳41,457,172","NO","$33,000","NOT FUNDED","$1,875","Approval Threshold"
"NFT API window","http://app.ideascale.com/t/UM5UZBm2r","2.33","308","₳21,350,177","₳64,287,259","-₳42,937,082","NO","$5,000","NOT FUNDED","$1,875","Approval Threshold"
"Layer 2 Advanced Architecture","http://app.ideascale.com/t/UM5UZBmlz","1.92","373","₳28,833,724","₳72,105,636","-₳43,271,912","NO","$200,000","NOT FUNDED","$1,875","Approval Threshold"
"CCC: Reset Ready?|Value-Flow Wealth","http://app.ideascale.com/t/UM5UZBmkY","3.11","301","₳22,389,520","₳68,647,219","-₳46,257,699","NO","$90,000","NOT FUNDED","$1,875","Approval Threshold"
"Blockchain-Powered forex Market","http://app.ideascale.com/t/UM5UZBnE1","1.58","360","₳21,402,214","₳69,787,430","-₳48,385,216","NO","$200,000","NOT FUNDED","$1,875","Approval Threshold"
"Holistic Development Case Studies","http://app.ideascale.com/t/UM5UZBnXC","1.17","324","₳3,067,019","₳53,356,293","-₳50,289,274","NO","$20,000","NOT FUNDED","$1,875","Approval Threshold"
"Cardano Data Indexing","http://app.ideascale.com/t/UM5UZBnV5","1.50","329","₳3,073,289","₳54,679,968","-₳51,606,679","NO","$110,000","NOT FUNDED","$1,875","Approval Threshold"
"NFT Payment Option","http://app.ideascale.com/t/UM5UZBm0Y","1.11","428","₳22,594,541","₳75,325,694","-₳52,731,153","NO","$7,634","NOT FUNDED","$1,875","Approval Threshold"
"CCC: Work|Live|Play@MOA","http://app.ideascale.com/t/UM5UZBmlR","1.50","355","₳19,575,676","₳72,387,284","-₳52,811,608","NO","$198,000","NOT FUNDED","$1,875","Approval Threshold"
"People Centred Design = less risk","http://app.ideascale.com/t/UM5UZBna6","1.73","349","₳3,937,778","₳62,845,030","-₳58,907,252","NO","$320,000","NOT FUNDED","$1,875","Approval Threshold"
"A viral onboarding experience","http://app.ideascale.com/t/UM5UZBmqC","1.11","510","₳24,087,319","₳85,353,349","-₳61,266,030","NO","$550,000","NOT FUNDED","$1,875","Approval Threshold"
"dRISK","http://app.ideascale.com/t/UM5UZBndk","1.00","481","₳12,634,544","₳74,414,723","-₳61,780,179","NO","$5","NOT FUNDED","$1,875","Approval Threshold"
