"Proposal","Link to ideascale","Yes","No","Result","Meets approval threshold","Requested $","Status","Fund depletion","Reason for not funded status"
"Whi World MMORPG","https://app.ideascaleapp.eu/t/UCNZPdj","₳9,963,096","₳60,024,622","-₳50,061,526","NO","$10,164.89","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Funding of Cardanojournal.com","https://app.ideascaleapp.eu/t/UCNZPdT","₳11,278,376","₳62,831,497","-₳51,553,121","NO","$10,700.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Education and Information sharing","https://app.ideascaleapp.eu/t/UCNZPdX","₳8,671,504","₳60,245,341","-₳51,573,837","NO","$2,673.93","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Weblinks to Stakepools & Portfolios","https://app.ideascaleapp.eu/t/UCNZPdr","₳13,744,078","₳65,706,461","-₳51,962,384","NO","$6,420.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Incentivized knowledge sharing","https://app.ideascaleapp.eu/t/UCNZPdH","₳10,182,506","₳62,953,616","-₳52,771,111","NO","$26,750.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Developer Acquisition Campaign","https://app.ideascaleapp.eu/t/UCNZPcv","₳13,183,963","₳66,349,480","-₳53,165,516","NO","$10,700.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Cardano Media Projects","https://app.ideascaleapp.eu/t/UCNZPdE","₳6,609,479","₳60,149,907","-₳53,540,428","NO","$10,058.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"An ultra efficient blockchain","https://app.ideascaleapp.eu/t/UCNZPdK","₳9,899,514","₳66,152,047","-₳56,252,533","NO","$8,025.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"C₳ST Onboarding… 7 Billion + 🗺","https://app.ideascaleapp.eu/t/UCNZPcl","₳7,386,132","₳65,668,519","-₳58,282,387","NO","$21,400.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"'Beef chain' for Medical Devices","https://app.ideascaleapp.eu/t/UCNZPc9","₳9,775,493","₳68,164,496","-₳58,389,003","NO","$32,100.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"FOX Gifts & Fund Raising","https://app.ideascaleapp.eu/t/UCNZPc5","₳5,066,127","₳64,381,331","-₳59,315,204","NO","$13,080.75","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
"Streamlining Cardano Communication","https://app.ideascaleapp.eu/t/UCNZPdp","₳7,391,309","₳66,714,312","-₳59,323,003","NO","$1,070.00","NOT FUNDED","$9,593.82","Not Funded - Approval Threshold"
