"Proposal","Link to ideascale","Overall score","YES","NO","Result","Meets approval threshold","REQUESTED $","STATUS","FUND DEPLETION","Reason for not funded status"
"Improving agriculture with Dapps","http://app.ideascale.com/t/UM5UZBfeq","1.4","₳30,831,869","₳58,290,527","-₳27,458,658","NO","$15,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Scale Up&Go","http://app.ideascale.com/t/UM5UZBflW","2.17","₳32,023,540","₳60,172,293","-₳28,148,753","NO","$18,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Fair Food Ordering & Delivery","http://app.ideascale.com/t/UM5UZBfz7","1.71","₳31,293,385","₳59,879,906","-₳28,586,521","NO","$108.00","NOT FUNDED","$3,500","Approval Threshold"
"Mental Health Dapp on the go","http://app.ideascale.com/t/UM5UZBfxU","2.57","₳42,159,034","₳70,782,794","-₳28,623,760","NO","$25,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Token faucet","http://app.ideascale.com/t/UM5UZBfvy","2.47","₳37,691,795","₳66,619,357","-₳28,927,562","NO","$9,500.00","NOT FUNDED","$3,500","Approval Threshold"
"M-Pesa payment rails integration","http://app.ideascale.com/t/UM5UZBf4b","1.79","₳31,872,632","₳61,861,503","-₳29,988,871","NO","$20,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Influencer Marketing Smart Contract","http://app.ideascale.com/t/UM5UZBfdK","1.8","₳28,060,384","₳58,069,924","-₳30,009,540","NO","$10,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Distributed financial support","http://app.ideascale.com/t/UM5UZBfyp","1.67","₳32,532,074","₳63,024,011","-₳30,491,937","NO","$40,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Synthesis - Hybrid Crowdfunding","http://app.ideascale.com/t/UM5UZBfjW","1.47","₳29,561,729","₳60,645,963","-₳31,084,234","NO","$25,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Tokenized Property Investment DApp","http://app.ideascale.com/t/UM5UZBf1T","1.75","₳31,197,222","₳62,788,097","-₳31,590,875","NO","$50,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Testing Smart Contracts","http://app.ideascale.com/t/UM5UZBflI","1.67","₳28,364,904","₳61,189,985","-₳32,825,081","NO","$30,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Order Book Based Exchange","http://app.ideascale.com/t/UM5UZBfoh","1.25","₳29,298,984","₳63,904,461","-₳34,605,477","NO","$50,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Genomic Data Marketplace","http://app.ideascale.com/t/UM5UZBf8F","3.17","₳46,420,588","₳81,338,208","-₳34,917,620","NO","$50,000.00","NOT FUNDED","$3,500","Approval Threshold"
" =+Rideshare-CO2 = Ada","http://app.ideascale.com/t/UM5UZBfsV","3.4","₳47,458,002","₳84,221,869","-₳36,763,867","NO","$20,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Voluntary.Gold: a community network","http://app.ideascale.com/t/UM5UZBfyc","2.17","₳29,521,179","₳67,624,619","-₳38,103,440","NO","$50,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Demos DAO","http://app.ideascale.com/t/UM5UZBfaP","2.88","₳39,490,585","₳77,674,325","-₳38,183,740","NO","$50,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Native Asset and Metadata app","http://app.ideascale.com/t/UM5UZBf1F","1.33","₳32,721,333","₳72,837,536","-₳40,116,203","NO","$20,000.00","NOT FUNDED","$3,500","Approval Threshold"
"dRelic","http://app.ideascale.com/t/UM5UZBf2k","2.92","₳39,064,167","₳80,002,692","-₳40,938,525","NO","$5,000.00","NOT FUNDED","$3,500","Approval Threshold"
"EmancipationStation","http://app.ideascale.com/t/UM5UZBgAF","1.43","₳28,138,947","₳69,187,884","-₳41,048,937","NO","$25,000.00","NOT FUNDED","$3,500","Approval Threshold"
"tokenize agricultural products","http://app.ideascale.com/t/UM5UZBf0F","3.08","₳65,269,395","₳106,447,577","-₳41,178,182","NO","$100,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Howto Cardano","http://app.ideascale.com/t/UM5UZBfk9","1.58","₳26,772,852","₳69,188,224","-₳42,415,372","NO","$100,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Global Parity Valuation Engine","http://app.ideascale.com/t/UM5UZBgBW","2.33","₳29,669,029","₳72,465,056","-₳42,796,027","NO","$35,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Proof-of-Free-Will ADA HW wallet","http://app.ideascale.com/t/UM5UZBf9M","3.14","₳53,849,023","₳97,537,660","-₳43,688,637","NO","$80,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Global Restaurant Dapp - BIBOP","http://app.ideascale.com/t/UM5UZBfdh","1.71","₳27,473,777","₳71,752,841","-₳44,279,064","NO","$10,000.00","NOT FUNDED","$3,500","Approval Threshold"
"ADA MyProject Freelance","http://app.ideascale.com/t/UM5UZBf9o","1.55","₳31,263,857","₳76,003,877","-₳44,740,020","NO","$5,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Data sharing for medical AI","http://app.ideascale.com/t/UM5UZBgAb","1.37","₳32,198,626","₳77,174,001","-₳44,975,375","NO","$10,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Decentralized Football Betting Pool","http://app.ideascale.com/t/UM5UZBfWb","2.76","₳45,247,180","₳91,767,898","-₳46,520,718","NO","$50,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Commodities Dex","http://app.ideascale.com/t/UM5UZBfhv","2.27","₳17,522,199","₳65,703,187","-₳48,180,988","NO","$20,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Free to Play Collectible Game","http://app.ideascale.com/t/UM5UZBfon","2.22","₳28,559,521","₳78,395,697","-₳49,836,176","NO","$50,000.00","NOT FUNDED","$3,500","Approval Threshold"
"The Universal Cookbook","http://app.ideascale.com/t/UM5UZBf7R","1.67","₳28,805,775","₳78,884,769","-₳50,078,994","NO","$5,003.00","NOT FUNDED","$3,500","Approval Threshold"
"Circle of Life (DNA)","http://app.ideascale.com/t/UM5UZBfgv","1.5","₳29,861,638","₳80,358,525","-₳50,496,887","NO","$80,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Better security using multi-sig","http://app.ideascale.com/t/UM5UZBfuz","1.86","₳31,403,210","₳82,155,538","-₳50,752,328","NO","$125,000.00","NOT FUNDED","$3,500","Approval Threshold"
"ADA human resources","http://app.ideascale.com/t/UM5UZBf7b","1.35","₳27,286,192","₳79,195,188","-₳51,908,996","NO","$4,000.00","NOT FUNDED","$3,500","Approval Threshold"
"NFT Based Online Football Manager","http://app.ideascale.com/t/UM5UZBfqq","2.67","₳32,836,513","₳86,271,744","-₳53,435,231","NO","$50,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Universal news subscription","http://app.ideascale.com/t/UM5UZBf6j","2.94","₳42,264,407","₳96,653,625","-₳54,389,218","NO","$50,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Multiplayer Game using Cardano","http://app.ideascale.com/t/UM5UZBfv4","2","₳35,459,239","₳91,609,179","-₳56,149,940","NO","$100,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Tokenize West Africa projects","http://app.ideascale.com/t/UM5UZBfsl","2.36","₳36,291,130","₳92,546,763","-₳56,255,633","NO","$200,000.00","NOT FUNDED","$3,500","Approval Threshold"
"ADA Powers Incentive Apps","http://app.ideascale.com/t/UM5UZBf7j","1.08","₳37,558,414","₳93,843,779","-₳56,285,365","NO","$35,000.00","NOT FUNDED","$3,500","Approval Threshold"
"OctoWars - a game platform","http://app.ideascale.com/t/UM5UZBf4f","1.33","₳32,191,778","₳90,988,691","-₳58,796,913","NO","$125,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Auto-Paying Royalty System","http://app.ideascale.com/t/UM5UZBfah","2.13","₳22,604,384","₳83,996,788","-₳61,392,404","NO","$75,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Peer-to-peer Science","http://app.ideascale.com/t/UM5UZBfcv","2.33","₳28,668,406","₳90,385,648","-₳61,717,242","NO","$100,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Funding Tree Planting Organisations","http://app.ideascale.com/t/UM5UZBf44","1.44","₳32,525,796","₳94,269,722","-₳61,743,926","NO","$100,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Mobile Device HW Wallet Integration","http://app.ideascale.com/t/UM5UZBftR","1.56","₳31,290,193","₳93,947,853","-₳62,657,660","NO","$100,000.00","NOT FUNDED","$3,500","Approval Threshold"
"CardanoArcade","http://app.ideascale.com/t/UM5UZBfto","3.4","₳26,608,369","₳90,818,246","-₳64,209,877","NO","$200,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Content Creator Fanbase DEFI DAPP","http://app.ideascale.com/t/UM5UZBfkx","2.22","₳16,196,649","₳81,459,694","-₳65,263,045","NO","$50,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Escambo","http://app.ideascale.com/t/UM5UZBf4u","1.31","₳27,953,276","₳94,312,685","-₳66,359,409","NO","$50,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Global sustainable transport","http://app.ideascale.com/t/UM5UZBfwQ","1.5","₳19,594,545","₳90,691,016","-₳71,096,471","NO","$25,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Music Database MIDI blockchain","http://app.ideascale.com/t/UM5UZBfyL","1","₳29,273,854","₳102,705,235","-₳73,431,381","NO","$5,000.00","NOT FUNDED","$3,500","Approval Threshold"
"The Predictors App - Oracle Service","http://app.ideascale.com/t/UM5UZBf8i","1.11","₳28,834,775","₳103,065,181","-₳74,230,406","NO","$10,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Better Security using Shamir Shares","http://app.ideascale.com/t/UM5UZBf47","1","₳34,214,312","₳110,019,841","-₳75,805,529","NO","$100,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Family/Groups join planning dAPP","http://app.ideascale.com/t/UM5UZBflX","1.25","₳25,632,944","₳101,783,773","-₳76,150,829","NO","$80,000.00","NOT FUNDED","$3,500","Approval Threshold"
"ADA-backed algorithmic stablecoin","http://app.ideascale.com/t/UM5UZBf2I","1.25","₳14,273,918","₳95,796,212","-₳81,522,294","NO","$5,001.00","NOT FUNDED","$3,500","Approval Threshold"
"Dapps of financial analysis on DEFI","http://app.ideascale.com/t/UM5UZBfs4","1","₳31,372,543","₳114,988,724","-₳83,616,181","NO","$50,000.00","NOT FUNDED","$3,500","Approval Threshold"
"ADAppTO","http://app.ideascale.com/t/UM5UZBfwu","1","₳29,321,178","₳118,959,795","-₳89,638,617","NO","$10,000.00","NOT FUNDED","$3,500","Approval Threshold"
"imToken wallet integration","http://app.ideascale.com/t/UM5UZBf4r","1.4","₳32,603,793","₳128,459,563","-₳95,855,770","NO","$200,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Decentralized Event-Risk Contracts","http://app.ideascale.com/t/UM5UZBf4o","1","₳16,190,639","₳114,738,399","-₳98,547,760","NO","$50,000.00","NOT FUNDED","$3,500","Approval Threshold"
"Making Cardano the go to for games","http://app.ideascale.com/t/UM5UZBfwH","1.09","₳13,238,037","₳118,386,547","-₳105,148,510","NO","$50,000.00","NOT FUNDED","$3,500","Approval Threshold"
